"teaminpossession","mean_time","median_time","mean_pass","median_pass","mean_time_mod","median_time_mod","mean_pass_mod","median_pass_mod","zero_pass_shot_count"
"795",8.47540390196079,6.59999999999991,2.15479876160991,2,10.5561264537275,6.59999999999991,2.68380462724936,2,778
"814",8.89264354745925,6.88,2.30968360498562,2,10.7974705704307,6.88,2.80442374854482,2,859
"877",8.93431896180215,7.08000000000001,2.41821743388834,2,10.8983747431302,7.08000000000001,2.94982078853047,2,837
"885",9.15308717280163,7.20000000000016,2.19325153374233,2,11.4618684443022,7.20000000000016,2.74647887323944,2,781
"524",9.22048498686869,7.04000000000019,2.33535353535354,2,11.255585865598,7.04000000000019,2.85080147965475,2,811
"869",9.27517381182216,7,2.31681243926142,2,11.2681863664286,7,2.814639905549,2,847
"855",9.29632114122733,7.39999999999998,2.55389541088581,2,11.1389423392967,7.39999999999998,3.06010230179028,2,782
"792",9.46663002696872,7.20000000000002,2.52427184466019,2,11.2076194572158,7.20000000000002,2.98850574712644,2,783
"726",9.86811964622642,7.68000000000006,2.64245283018868,2,11.7004550615213,7.68000000000006,3.1331096196868,2,894
"628",9.99651806156716,7.98000000000002,2.73507462686567,2,11.7502931600877,7.98000000000002,3.21491228070175,2,912
"634",10.1222102794457,7.85335000000003,2.70785219399538,2,11.8939404369064,7.85335000000003,3.18181818181818,2,737
"686",10.1280039650901,8.07330000000002,2.74436936936937,2,12.336992484225,8.07330000000002,3.34293552812071,2,729
"503",10.2205361619145,7.56000000000003,2.65682281059063,2,12.2099349282238,7.56000000000003,3.17396593673966,2,822
"825",10.2806419646612,7.43330000000014,2.72896174863388,2,12.3448653512664,7.43330000000014,3.27690288713911,2,762
